"LOINC_NUM","LONG_COMMON_NAME","ORDER_OBS"
"42176-8","1,3 beta glucan [Mass/volume] in Serum","Both"
"53835-5","1,5-Anhydroglucitol [Mass/volume] in Serum or Plasma","Both"
"31019-3","10-Hydroxycarbazepine [Mass/volume] in Serum or Plasma","Both"
"6765-2","17-Hydroxypregnenolone [Mass/volume] in Serum or Plasma","Both"
"1668-3","17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma","Both"
"32854-2","17-Hydroxyprogesterone [Presence] in DBS","Both"
"49054-0","25-Hydroxycalciferol [Mass/volume] in Serum or Plasma","Both"
"62292-8","25-Hydroxyvitamin D2+25-Hydroxyvitamin D3 [Mass/volume] in Serum or Plasma","Both"
"44907-4","5-Hydroxyindoleacetate panel - 24 hour Urine","Order"
"1690-7","5'-Nucleotidase [Enzymatic activity/volume] in Serum or Plasma","Both"
"19593-3","6-Monoacetylmorphine (6-MAM) [Mass/volume] in Urine by Confirmatory method","Both"
"10976-9","6-Monoacetylmorphine (6-MAM) [Presence] in Urine","Both"
"51776-3","7-Aminoclonazepam [Mass/volume] in Urine by Confirmatory method","Both"
"882-1","ABO and Rh group [Type] in Blood","Both"
"46268-9","ABO and Rh group [Type] in Blood from Blood product unit--after transfusion reaction","Both"
"19057-9","ABO and Rh group [Type] in Blood from Newborn","Both"
"34530-6","ABO and Rh group panel - Blood","Order"
"883-9","ABO group [Type] in Blood","Both"
"3298-7","Acetaminophen [Mass/volume] in Serum or Plasma","Both"
"35595-8","Acetaminophen [Mass/volume] in Serum or Plasma by Screen method","Both"
"3297-9","Acetaminophen [Presence] in Serum or Plasma","Both"
"3299-5","Acetaminophen [Presence] in Urine","Both"
"5568-1","Acetone [Mass/volume] in Serum or Plasma","Both"
"20469-3","Acetone [Presence] in Serum or Plasma by Screen method","Both"
"5569-9","Acetone [Presence] in Urine","Both"
"20427-1","Acetylcholine receptor Ab [Moles/volume] in Serum","Both"
"11034-6","Acetylcholine receptor binding Ab [Moles/volume] in Serum","Both"
"11561-8","Acetylcholine receptor blocking Ab [Units/volume] in Serum","Both"
"30192-9","Acetylcholine receptor modulation Ab/Acetylcholine Ab.total in Serum","Both"
"6066-5","Acremonium sp IgE Ab [Units/volume] in Serum","Both"
"34661-9","Actin IgG Ab [Units/volume] in Serum or Plasma","Both"
"3184-9","Activated clotting time (ACT) of Blood by Coagulation assay","Both"
"48344-6","Activated clotting time (ACT) of Platelet poor plasma by Kaolin induced method","Both"
"13589-7","Activated protein C resistance [Presence] in Blood by NAA with probe detection","Both"
"13590-5","Activated protein C resistance [Time Ratio] in Platelet poor plasma by Coagulation assay","Both"
"24363-4","Acute hepatitis 2000 panel - Serum","Order"
"45270-6","Acute leukemia panel - Unspecified specimen by Flow cytometry (FC)","Order"
"1721-0","Adenosine triphosphate [Mass/volume] in Blood","Both"
"5834-7","Adenovirus Ag [Presence] in Unspecified specimen by Immunofluorescence","Both"
"55160-6","Adenovirus IgG and IgM panel - Serum","Order"
"1742-6","Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma","Both"
"1747-5","Albumin [Mass/volume] in Body fluid","Both"
"1746-7","Albumin [Mass/volume] in Cerebral spinal fluid","Both"
"1751-7","Albumin [Mass/volume] in Serum or Plasma","Both"
"1761-6","Aldolase [Enzymatic activity/volume] in Serum or Plasma","Both"
"1763-2","Aldosterone [Mass/volume] in Serum or Plasma","Both"
"55151-5","Aldosterone and renin activity panel - Plasma","Order"
"6768-6","Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma","Both"
"1777-2","Alkaline phosphatase.bone [Enzymatic activity/volume] in Serum or Plasma","Both"
"17838-4","Alkaline phosphatase.bone [Mass/volume] in Serum or Plasma","Both"
"6019-4","Almond IgE Ab [Units/volume] in Serum","Both"
"1825-9","Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma","Both"
"6771-0","Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma by Nephelometry","Both"
"1823-4","Alpha tocopherol [Mass/volume] in Serum or Plasma","Both"
"1834-1","Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma","Both"
"19171-8","Alpha-1-Fetoprotein [Units/volume] in Amniotic fluid","Both"
"10459-6","Alpha-1-Fetoprotein Ag [Presence] in Tissue by Immune stain","Both"
"48802-3","Alpha-1-Fetoprotein panel - Serum or Plasma","Order"
"53962-7","Alpha-1-fetoprotein.tumor marker [Mass/volume] in Serum or Plasma","Both"
"6020-2","Alternaria alternata IgE Ab [Units/volume] in Serum","Both"
"5574-9","Aluminum [Mass/volume] in Serum or Plasma","Both"
"6038-4","American Beech IgE Ab [Units/volume] in Serum","Both"
"30170-5","American Cockroach IgE Ab [Units/volume] in Serum","Both"
"6095-4","American house dust mite IgE Ab [Units/volume] in Serum","Both"
"6263-8","American Sycamore IgE Ab [Units/volume] in Serum","Both"
"3321-7","Amikacin [Mass/volume] in Serum or Plasma --trough","Both"
"35083-5","Amino acids panel [Moles/volume] - Serum or Plasma","Order"
"55152-3","Amiodarone and Desethylamiodarone panel [Mass/volume] - Serum or Plasma","Order"
"22763-7","Ammonia [Mass/volume] in Plasma","Both"
"16362-6","Ammonia [Moles/volume] in Plasma","Both"
"19343-3","Amphetamine [Presence] in Urine by Screen method","Both"
"8150-5","Amphetamines [Mass/volume] in Urine","Both"
"8144-8","Amphetamines [Presence] in Meconium","Both"
"8146-3","Amphetamines [Presence] in Meconium by Screen method","Both"
"8149-7","Amphetamines [Presence] in Serum or Plasma by Screen method","Both"
"3349-8","Amphetamines [Presence] in Urine","Both"
"19261-7","Amphetamines [Presence] in Urine by Screen method","Both"
"43983-6","Amphetamines [Presence] in Urine by Screen method >500 ng/mL","Both"
"1795-4","Amylase [Enzymatic activity/volume] in Body fluid","Both"
"1798-8","Amylase [Enzymatic activity/volume] in Serum or Plasma","Both"
"33915-0","Anabasine [Mass/volume] in Urine","Both"
"23877-4","Anaplasma phagocytophilum IgG Ab [Titer] in Serum by Immunofluorescence","Both"
"23878-2","Anaplasma phagocytophilum IgM Ab [Titer] in Serum by Immunofluorescence","Both"
"1848-1","Androstanolone [Mass/volume] in Serum or Plasma","Both"
"1854-9","Androstenedione [Mass/volume] in Serum or Plasma","Both"
"1857-2","Angiotensin converting enzyme [Enzymatic activity/volume] in Blood","Both"
"12480-0","Angiotensin converting enzyme [Enzymatic activity/volume] in Cerebral spinal fluid","Both"
"2742-5","Angiotensin converting enzyme [Enzymatic activity/volume] in Serum or Plasma","Both"
"3174-0","Antithrombin [Units/volume] in Platelet poor plasma by Chromogenic method","Both"
"27811-9","Antithrombin actual/normal in Platelet poor plasma by Chromogenic method","Both"
"3175-7","Antithrombin Ag [Units/volume] in Platelet poor plasma by Immunoassay","Both"
"27812-7","Antithrombin Ag actual/normal in Platelet poor plasma by Immunoassay","Both"
"21619-2","APOE gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal","Both"
"1869-7","Apolipoprotein A-I [Mass/volume] in Serum or Plasma","Both"
"55724-9","Apolipoprotein A-I and A-II and B and C panel [Mass/volume] - Serum or Plasma","Order"
"1884-6","Apolipoprotein B [Mass/volume] in Serum or Plasma","Both"
"1871-3","Apolipoprotein B-100 [Mass/volume] in Serum or Plasma","Both"
"1881-2","Apolipoprotein LPA [Mass/volume] in Serum or Plasma","Both"
"6021-0","Apple IgE Ab [Units/volume] in Serum","Both"
"3173-2","aPTT in Blood by Coagulation assay","Both"
"49058-1","aPTT in Blood drawn from CRRT circuit by Coagulation assay","Both"
"14979-9","aPTT in Platelet poor plasma by Coagulation assay","Both"
"3282-1","aPTT W excess hexagonal phase phospholipid in Platelet poor plasma by Coagulation assay","Both"
"61430-5","Aquaporin 4 receptor Ab [Units/volume] in Serum or Plasma by Immunoassay","Both"
"5583-0","Arsenic [Mass/volume] in Blood","Both"
"54454-4","Arsenic fractions panel - Urine","Order"
"1903-4","Ascorbate [Mass/volume] in Serum or Plasma","Both"
"14622-5","Ascorbate [Moles/volume] in Serum or Plasma","Both"
"1920-8","Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma","Both"
"9490-4","Aspergillus flavus Ab [Presence] in Serum","Both"
"9632-1","Aspergillus fumigatus Ab [Presence] in Serum","Both"
"6025-1","Aspergillus fumigatus IgE Ab [Units/volume] in Serum","Both"
"22086-3","Aspergillus niger Ab [Presence] in Serum","Both"
"5052-6","Aspergillus sp Ab [Presence] in Serum by Immune diffusion (ID)","Both"
"5053-4","Aspergillus sp Ab [Titer] in Serum by Complement fixation","Both"
"6029-3","Aureobasidium pullulans IgE Ab [Units/volume] in Serum","Both"
"16117-4","Babesia microti IgG Ab [Titer] in Serum","Both"
"16118-2","Babesia microti IgM Ab [Titer] in Serum","Both"
"44023-0","Bacteria [Presence] in Vaginal fluid by Wet preparation","Both"
"595-9","Bacteria identified in Abscess by Aerobe culture","Both"
"600-7","Bacteria identified in Blood by Culture","Both"
"610-6","Bacteria identified in Body fluid by Aerobe culture","Both"
"611-4","Bacteria identified in Body fluid by Culture","Both"
"19126-2","Bacteria identified in Bone marrow by Aerobe culture","Both"
"43441-5","Bacteria identified in Bronchoalveolar lavage by Aerobe culture","Both"
"19128-8","Bacteria identified in Catheter tip by Culture","Both"
"606-4","Bacteria identified in Cerebral spinal fluid by Culture","Both"
"9822-8","Bacteria identified in Dialysis fluid by Culture","Both"
"608-0","Bacteria identified in Ear by Aerobe culture","Both"
"609-8","Bacteria identified in Eye by Aerobe culture","Both"
"10352-3","Bacteria identified in Genital specimen by Aerobe culture","Both"
"42803-7","Bacteria identified in Isolate","Both"
"10353-1","Bacteria identified in Nose by Aerobe culture","Both"
"619-7","Bacteria identified in Peritoneal fluid by Culture","Both"
"6460-0","Bacteria identified in Sputum by Culture","Both"
"623-9","Bacteria identified in Sputum by Cystic fibrosis respiratory culture","Both"
"624-7","Bacteria identified in Sputum by Respiratory culture","Both"
"625-4","Bacteria identified in Stool by Culture","Both"
"621-3","Bacteria identified in Synovial fluid by Culture","Both"
"17898-8","Bacteria identified in Throat by Aerobe culture","Both"
"626-2","Bacteria identified in Throat by Culture","Both"
"627-0","Bacteria identified in Tissue by Aerobe culture","Both"
"20474-3","Bacteria identified in Tissue by Biopsy culture","Both"
"634-6","Bacteria identified in Unspecified specimen by Aerobe culture","Both"
"635-3","Bacteria identified in Unspecified specimen by Anaerobe culture","Both"
"21020-3","Bacteria identified in Unspecified specimen by Anaerobe+Aerobe culture","Both"
"6463-4","Bacteria identified in Unspecified specimen by Culture","Both"
"32355-0","Bacteria identified in Unspecified specimen by Respiratory culture","Both"
"630-4","Bacteria identified in Urine by Culture","Both"
"11261-5","Bacteria identified in Vaginal fluid by Aerobe culture","Both"
"6462-6","Bacteria identified in Wound by Culture","Both"
"43407-6","Bacteria identified in Wound deep by Culture","Both"
"41477-1","Bacterial sialidase [Presence] in Unspecified specimen","Both"
"54145-8","Bacterial vaginosis and vaginitis DNA panel - Vaginal fluid by Probe with signal amplification","Order"
"6034-3","Bahia grass IgE Ab [Units/volume] in Serum","Both"
"31032-6","Baker's yeast IgA Ab [Units/volume] in Serum","Both"
"47320-7","Baker's yeast IgA Ab [Units/volume] in Serum by Immunoassay","Both"
"6287-7","Baker's yeast IgE Ab [Units/volume] in Serum","Both"
"35538-8","Baker's yeast IgG Ab [Mass/volume] in Serum","Both"
"6035-0","Banana IgE Ab [Units/volume] in Serum","Both"
"9426-8","Barbiturates [Mass/volume] in Urine","Both"
"3376-1","Barbiturates [Presence] in Serum, Plasma or Blood","Both"
"3377-9","Barbiturates [Presence] in Urine","Both"
"19270-8","Barbiturates [Presence] in Urine by Screen method","Both"
"6037-6","Barley IgE Ab [Units/volume] in Serum","Both"
"9360-9","Bartonella quintana IgG Ab [Titer] in Serum","Both"
"9361-7","Bartonella quintana IgM Ab [Titer] in Serum","Both"
"24321-2","Basic metabolic 2000 panel - Serum or Plasma","Order"
"7124-1","Bayberry Pollen IgE Ab [Units/volume] in Serum","Both"
"6039-2","Beef IgE Ab [Units/volume] in Serum","Both"
"9428-4","Benzodiazepines [Mass/volume] in Urine","Both"
"3389-4","Benzodiazepines [Presence] in Serum or Plasma","Both"
"3390-2","Benzodiazepines [Presence] in Urine","Both"
"16195-0","Benzodiazepines [Presence] in Urine by Confirmatory method","Both"
"14316-4","Benzodiazepines [Presence] in Urine by Screen method","Both"
"70141-7","Benzodiazepines [Presence] in Urine by Screen method >200 ng/mL","Both"
"8187-7","Benzoylecgonine [Presence] in Meconium","Both"
"3393-6","Benzoylecgonine [Presence] in Urine","Both"
"14314-9","Benzoylecgonine [Presence] in Urine by Screen method","Both"
"43984-4","Benzoylecgonine [Presence] in Urine by Screen method >150 ng/mL","Both"
"6041-8","Bermuda grass IgE Ab [Units/volume] in Serum","Both"
"21108-6","Beta 2 glycoprotein 1 IgA Ab [Units/volume] in Serum","Both"
"44447-1","Beta 2 glycoprotein 1 IgA Ab [Units/volume] in Serum or Plasma by Immunoassay","Both"
"16135-6","Beta 2 glycoprotein 1 IgG Ab [Units/volume] in Serum","Both"
"44448-9","Beta 2 glycoprotein 1 IgG Ab [Units/volume] in Serum or Plasma by Immunoassay","Both"
"72488-0","Beta 2 glycoprotein 1 IgG and IgM panel - Serum","Order"
"16136-4","Beta 2 glycoprotein 1 IgM Ab [Units/volume] in Serum","Both"
